"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 0.5 100 46 1 2.98999507236907 0.329655154565756 FALSE ""
3 1.5 800 94 2 3.0049949874709 1.76206424985714 FALSE ""
7 1.5 700 5 3 7.06856642945409 0.884940221002704 FALSE ""
3 1.5 200 67 4 3.1749949999315 2.32916416990672 FALSE ""
7 1.5 800 69 5 7.03249499999796 1.10943705985362 FALSE ""
7 0.5 400 113 6 6.95749499948946 0.506590558443062 FALSE ""
3 1 100 155 7 2.90999500954485 0.802023668132734 FALSE ""
7 0.5 400 44 8 6.87749500895612 0.522848630906674 FALSE ""
7 1 300 179 9 6.86999500312722 0.526819987484595 FALSE ""
3 1 50 78 10 3.03999523390152 0.573787167305838 FALSE ""
7 1.5 800 128 11 6.99249499998174 1.7796460383896 FALSE ""
3 1 100 116 12 2.99999500730469 1.64499713196826 FALSE ""
7 1 400 189 13 7.06999500653929 1.03436029910011 FALSE ""
7 1 300 185 14 7.08332833681801 1.19208225822922 FALSE ""
7 1.5 600 46 15 6.88332833839227 1.27013728710753 FALSE ""
7 1.5 50 58 16 7.17999505759648 4.75827764778188 FALSE ""
3 1.5 700 36 17 2.98285213232885 1.61881003551668 FALSE ""
3 0.5 900 9 18 3.06332836225979 0.62830256453445 FALSE ""
3 0.5 100 40 19 3.21999499652429 0.668724345849838 FALSE ""
3 1.5 200 172 20 3.16999497876192 1.87768316077203 FALSE ""
7 0.5 600 20 21 6.96832835635233 0.527397272548496 FALSE ""
3 1.5 600 26 22 3.06832834957647 1.39436214367662 FALSE ""
3 1.5 1000 9 23 2.96799499636621 1.49078154722864 FALSE ""
7 0.5 900 56 24 6.94332832994211 0.653561729275528 FALSE ""
3 1.5 500 170 25 3.07599497754861 1.80326187924903 FALSE ""
7 1.5 700 19 26 7.17570928228706 1.3710816983493 FALSE ""
3 0.5 900 21 27 3.03443939578596 0.347436776066525 FALSE ""
7 1 100 122 28 7.15999499882748 1.2641080701198 FALSE ""
3 0.5 600 178 29 3.03832843155301 0.38819300241739 FALSE ""
3 1 1000 81 30 3.01099500553785 0.937004281556532 FALSE ""
7 0.5 400 65 31 7.17249502273028 0.134434563553317 FALSE ""
7 1.5 800 44 32 6.94874499434638 1.67339824076152 FALSE ""
3 0.5 50 59 33 2.69999582389832 0.461811257008251 FALSE ""
7 1 900 93 34 7.09221722251006 1.16429391154068 FALSE ""
3 0.5 100 100 35 2.94999497011948 0.440722836639972 FALSE ""
3 1.5 600 160 36 2.87332832830682 1.27387994148691 FALSE ""
7 1 300 38 37 6.93999499341457 0.508583315945487 FALSE ""
7 0.5 50 169 38 7.2199950014231 3.06183356575568 FALSE ""
7 1.5 900 176 39 7.09110610625547 1.90157473141168 FALSE ""
7 1.5 50 188 40 7.41999499505096 0.287024874583576 FALSE ""
7 1 600 71 41 6.97166165905066 0.348266502388814 FALSE ""
7 0.5 900 133 42 6.97443944273157 0.289195256582496 FALSE ""
3 1 1000 147 43 3.12299500589655 1.19024375791736 FALSE ""
3 0.5 600 182 44 3.05999499062718 0.408870828977596 FALSE ""
3 1.5 50 178 45 3.27999507936548 1.40198090390557 FALSE ""
3 1.5 900 191 46 3.02443943875548 1.89520741373523 FALSE ""
3 1 100 192 47 2.92999505968631 1.66783524680109 FALSE ""
7 0.5 500 20 48 6.97199500879935 0.286179186147413 FALSE ""
