"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "g0_si_hat" "g1_si_hat" "error" "errorMessage"
600 69 1 1.43423281106604 -3.08760925681367 1.39160931185908 -1.93958608773626 FALSE ""
200 99 2 1.32687791050767 -2.64621898997751 1.66518779474167 -1.96931632997437 FALSE ""
600 99 3 1.11144972049697 -3.43007760978506 1.21781368128447 -2.61388889307871 FALSE ""
200 71 4 1.33265853205817 -2.78594675504478 1.27943169720108 -1.49992659058398 FALSE ""
100 41 5 5.75182078483544 -1.39743814231721 6.40696838561581 -0.768648415843692 FALSE ""
300 54 6 4.05222333324487 -1.59835936985989 4.52499863709922 -0.572996501144928 FALSE ""
800 56 7 0.96969503540693 -2.82723086580903 1.09976391465735 -2.20337511704224 FALSE ""
800 37 8 1.19861068881899 -2.71604627516496 1.44712411332516 -2.01933968505466 FALSE ""
700 8 9 1.26836956005739 -2.68028838308621 1.31295618286285 -1.76282053910781 FALSE ""
800 99 10 1.05939317382165 -2.97152257268382 1.1313140472429 -2.02220283975704 FALSE ""
800 46 11 1.36398029763393 -3.03505216043636 1.36314469160914 -2.01637890494216 FALSE ""
50 18 12 NA NA NA NA FALSE ""
500 51 13 1.33592656897584 -3.36054900228398 1.5890461514171 -3.0260272115921 FALSE ""
400 80 14 1.27257778511327 -2.91571424625376 1.21896111373591 -1.70482188998746 FALSE ""
50 6 15 3.70543358491849 -1.8206291698392 3.97810618432172 -0.459804214430066 FALSE ""
700 12 16 1.32159872247298 -3.00843185466201 1.51594271383076 -2.27968453173877 FALSE ""
1000 48 17 1.13437498429347 -2.71900259217591 1.29660937571749 -2.22975028493223 FALSE ""
200 77 18 1.08178090101595 -3.58752683751318 1.55571193734164 -3.53498313959143 FALSE ""
800 79 19 1.18231008082663 -3.56496706035211 0.992795448568043 -2.10056598240862 FALSE ""
1000 2 20 1.21321961809855 -2.82448931406161 1.35470928706004 -1.96000853548976 FALSE ""
300 46 21 NA NA NA NA FALSE ""
50 30 22 NA NA NA NA FALSE ""
200 63 23 0.889300057190006 -3.25704514273457 1.0739586175597 -3.11386063415702 FALSE ""
300 36 24 NA NA NA NA FALSE ""
900 12 25 1.31473933234115 -2.97052733453588 1.53824160558026 -2.23486001756776 FALSE ""
1000 49 26 1.10390974796302 -3.04784769355582 1.09977184746311 -2.03673918757594 FALSE ""
800 54 27 1.28701935538594 -2.82965642087658 1.51008009105479 -1.94934679187359 FALSE ""
600 4 28 1.20787276742539 -3.53924582173179 1.25455224821367 -2.61455176589945 FALSE ""
600 39 29 1.10772828347366 -2.29732580491567 1.43092863567963 -1.72248058542999 FALSE ""
400 56 30 NA NA NA NA FALSE ""
400 8 31 8.61113802164393 -1.60433205816789 9.06658808022562 -0.418483172509619 FALSE ""
50 1 32 NA NA NA NA FALSE ""
300 40 33 1.21357058190842 -2.70363366554924 1.31412654242874 -1.92623437843222 FALSE ""
200 4 34 NA NA NA NA FALSE ""
500 34 35 1.32633917885446 -2.79990742921337 1.55357060788993 -2.09439161322255 FALSE ""
50 89 36 0.971730908057542 -2.31276824339694 0.816357032094205 -1.25360082162379 FALSE ""
50 58 37 5.30230312407647 -1.18984153323806 5.61684322437229 -0.154458598684475 FALSE ""
50 35 38 NA NA NA NA FALSE ""
300 61 39 1.18163257800689 -3.21062525251748 0.812645650751848 -1.49917367443751 FALSE ""
200 84 40 1.24126807675749 -3.24586785310348 1.37030467865768 -2.27231652681377 FALSE ""
600 9 41 1.30295936652922 -2.96728530033004 1.41226658740003 -1.80027060765091 FALSE ""
400 33 42 11.8721465330013 -1.53258736641901 12.3574462859348 -0.432233929442188 FALSE ""
200 8 43 1.33719543465295 -3.22339593052909 0.949551968513087 -1.23637394542965 FALSE ""
100 1 44 1.45916322657095 -2.77673185160141 1.50099147014647 -1.66256592114672 FALSE ""
200 95 45 4.15725191810874 -1.74666452629582 4.8074555245067 -0.769510836209537 FALSE ""
800 34 46 1.25200004272292 -2.73641729760026 1.3430927158307 -1.64390335613333 FALSE ""
400 19 47 1.20592241415759 -3.85289220661847 1.02961684395003 -2.16074454247698 FALSE ""
800 47 48 1.32220805837917 -2.9682380560717 1.30588999882249 -1.78154009431255 FALSE ""
100 49 49 NA NA NA NA FALSE ""
800 84 50 1.22800932976206 -2.70090857281677 1.36064738867954 -1.95229482088055 FALSE ""
500 10 51 6.48629712508969 -1.48597593656784 6.95586405154945 -0.443500478146024 FALSE ""
100 11 52 0.684185290648591 -2.69691975543695 0.900814145420134 -2.13703155967502 FALSE ""
500 48 53 1.19687743310798 -2.66024370958509 1.21159586661334 -1.71251504176995 FALSE ""
100 86 54 1.00379361552366 -2.76893581467579 1.26762607905286 -1.97494794010193 FALSE ""
900 79 55 1.24246083424871 -2.89194875325299 1.38094744891205 -2.06567794944536 FALSE ""
300 16 56 1.05397629121754 -2.99068447362404 1.00580514075682 -1.68491995224901 FALSE ""
600 79 57 3.92611759962724 -1.75969935300733 4.24548014738678 -0.35017292398631 FALSE ""
400 83 58 0.768676965278899 -3.73525033429611 0.746096102713023 -2.85776605639042 FALSE ""
800 23 59 1.08250262341589 -2.72314665208218 1.24308221217994 -2.05413092824339 FALSE ""
500 26 60 NA NA NA NA FALSE ""
100 21 61 0.926101333926486 -2.69411381660255 0.971935597197927 -1.91712872685 FALSE ""
600 68 62 NA NA NA NA FALSE ""
50 87 63 1.23679446451542 -2.66159061443656 0.741225831180082 -1.12771671935237 FALSE ""
1000 33 64 1.12368778644313 -2.99674642530333 1.37645760871145 -2.34660127287769 FALSE ""
900 62 65 1.18823169540281 -2.81408362543767 1.21773835145895 -1.93509536487948 FALSE ""
200 17 66 0.983733793068559 -2.86735953704379 1.55102006124956 -3.09764908771211 FALSE ""
1000 68 67 1.19861534744982 -2.73417264264357 1.31201298706809 -1.93308610788098 FALSE ""
800 28 68 1.27415367820295 -2.81771799125841 1.6519049514989 -2.2176077383486 FALSE ""
900 99 69 1.19729062663059 -3.22748058702494 1.17359107801009 -1.89127134578016 FALSE ""
900 72 70 1.16088951490366 -3.16068845033887 1.30086655921272 -2.31689976476662 FALSE ""
200 83 71 1.07018851474969 -3.13223890660526 1.25979500016796 -2.49627807929561 FALSE ""
400 44 72 1.26005795244252 -2.67301864493103 1.28243811716618 -1.7047619734674 FALSE ""
400 58 73 1.29865364450562 -2.98337139961505 1.58473323889275 -2.34455093117221 FALSE ""
50 71 74 1.14760655670666 -4.41716625409638 1.06048586869493 -4.07730473167109 FALSE ""
